,id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,is_churn,agegroup,loyaltyscore
113,114,32,Male,35514,4,5,36,Sports,415.44 ,FALSE,31-40,44.53 
114,115,64,Male,87595,11,5,21,Electronics,69.78 ,FALSE,61-70,41.04 
115,116,59,Male,125014,89,7,42,Home & Garden,451.82 ,FALSE,51-60,75.25 
116,117,62,Male,128322,44,4,31,Electronics,668.91 ,FALSE,61-70,56.45 
117,118,62,Male,48693,36,9,44,Home & Garden,755.67 ,FALSE,61-70,64.10 
118,119,33,Male,113154,75,8,46,Groceries,895.58 ,FALSE,31-40,77.27 
119,120,68,Female,78309,12,2,49,Clothing,848.14 ,FALSE,61-70,56.15 
120,121,47,Female,112072,50,5,21,Groceries,884.19 ,FALSE,41-50,48.61 
121,122,43,Male,42855,66,6,23,Electronics,138.51 ,FALSE,41-50,43.43 
122,123,26,Other,55515,29,9,37,Sports,50.57 ,FALSE,21-30,58.83 
123,124,30,Male,51454,94,8,17,Home & Garden,553.35 ,FALSE,31-40,46.72 
124,125,66,Other,69362,58,1,23,Clothing,960.08 ,FALSE,61-70,36.60 
125,126,26,Female,69795,60,9,29,Electronics,389.37 ,FALSE,21-30,57.67 
126,127,58,Male,32860,90,5,18,Sports,405.05 ,FALSE,51-60,38.33 
127,128,40,Other,81037,70,10,45,Electronics,370.75 ,FALSE,41-50,75.16 
128,129,67,Other,40385,64,1,17,Sports,957.06 ,FALSE,61-70,28.06 
129,130,61,Female,131607,25,7,26,Clothing,714.15 ,FALSE,61-70,57.04 
130,131,51,Male,42337,70,9,28,Sports,914.97 ,FALSE,51-60,53.75 
131,132,67,Female,116124,78,10,28,Home & Garden,11.29 ,FALSE,61-70,67.62 
132,133,25,Other,94016,85,8,49,Groceries,764.28 ,FALSE,21-30,77.80 
133,134,26,Male,62131,91,6,18,Sports,70.56 ,FALSE,21-30,44.82 
134,135,29,Female,100290,85,8,29,Clothing,480.87 ,FALSE,21-30,62.74 
135,136,31,Male,145261,25,10,37,Sports,378.40 ,FALSE,31-40,73.89 
136,137,48,Male,81763,49,6,46,Sports,179.25 ,FALSE,41-50,65.96 
137,138,67,Female,120561,66,2,21,Clothing,798.20 ,FALSE,61-70,45.48 
138,139,18,Female,99638,33,8,23,Groceries,316.27 ,FALSE,0-20,52.65 
139,140,18,Female,78097,84,3,26,Clothing,453.34 ,FALSE,0-20,46.91 
140,141,23,Other,67237,85,9,40,Electronics,673.02 ,FALSE,21-30,68.59 
141,142,37,Male,61695,13,5,45,Home & Garden,18.49 ,FALSE,31-40,56.55 
142,143,55,Other,101084,73,9,24,Groceries,624.81 ,FALSE,51-60,59.66 
143,144,41,Female,82613,49,3,10,Home & Garden,421.24 ,TRUE,41-50,31.29 
144,145,44,Other,122987,29,10,25,Electronics,898.68 ,FALSE,41-50,61.35 
145,146,58,Other,90389,17,5,12,Electronics,855.21 ,TRUE,51-60,34.86 
146,147,69,Male,90929,2,10,29,Electronics,518.70 ,FALSE,61-70,57.04 
147,148,47,Female,104517,91,2,6,Home & Garden,979.41 ,TRUE,41-50,33.58 
148,149,34,Other,79949,89,3,19,Groceries,273.34 ,FALSE,31-40,42.09 
149,150,54,Male,100745,29,6,42,Clothing,335.15 ,FALSE,51-60,63.61 
150,151,55,Other,138064,86,5,22,Electronics,368.75 ,FALSE,51-60,56.91 
151,152,45,Female,79721,20,1,1,Home & Garden,215.41 ,TRUE,41-50,16.76 
152,153,43,Male,33030,61,8,40,Groceries,711.04 ,FALSE,41-50,59.05 
153,154,30,Other,78653,43,4,2,Electronics,933.73 ,TRUE,31-40,25.70 
154,155,53,Other,146312,58,2,32,Electronics,880.78 ,FALSE,51-60,57.35 
155,156,24,Female,103766,77,4,25,Home & Garden,663.21 ,FALSE,21-30,51.26 
156,157,69,Female,51990,59,2,37,Clothing,762.41 ,FALSE,61-70,47.30 
157,158,61,Other,46738,36,3,26,Groceries,393.60 ,FALSE,61-70,37.41 
158,159,58,Other,107818,70,5,24,Home & Garden,722.18 ,FALSE,51-60,52.37 
159,160,36,Other,83511,28,5,49,Home & Garden,367.97 ,FALSE,31-40,64.53 
160,161,69,Female,117782,18,1,15,Sports,762.55 ,TRUE,61-70,33.47 
161,162,64,Other,122472,75,1,17,Sports,771.33 ,FALSE,61-70,41.47 
162,163,45,Male,76259,72,5,41,Sports,228.88 ,FALSE,41-50,61.44 
163,164,60,Other,98771,37,8,42,Sports,520.37 ,FALSE,61-70,68.12 
164,165,64,Other,96494,10,4,47,Home & Garden,184.45 ,FALSE,61-70,61.07 
165,166,41,Female,48155,19,10,36,Groceries,566.65 ,FALSE,41-50,57.92 
166,167,18,Other,46707,61,10,16,Clothing,18.60 ,FALSE,0-20,45.91 
167,168,36,Other,87275,82,9,2,Clothing,14.52 ,TRUE,31-40,40.89 
168,169,51,Female,58930,95,5,33,Sports,115.09 ,FALSE,51-60,54.74 
169,170,37,Male,33987,60,8,39,Groceries,975.10 ,FALSE,31-40,58.30 
170,171,21,Male,140801,13,3,43,Home & Garden,82.88 ,FALSE,21-30,62.82 
171,172,19,Male,98446,25,4,34,Groceries,696.59 ,FALSE,0-20,52.47 
172,173,56,Female,111754,96,8,38,Home & Garden,631.06 ,FALSE,51-60,72.76 
173,174,47,Other,66932,89,5,9,Home & Garden,861.66 ,TRUE,41-50,36.14 
174,175,33,Female,81766,86,1,16,Sports,160.11 ,FALSE,31-40,35.66 
175,176,34,Male,79572,62,2,24,Sports,843.15 ,FALSE,31-40,41.34 
176,177,65,Other,123680,30,2,35,Electronics,218.74 ,FALSE,61-70,53.55 
177,178,67,Female,130300,75,5,27,Electronics,94.32 ,FALSE,61-70,58.64 
178,179,45,Female,102050,57,8,39,Groceries,263.93 ,FALSE,41-50,68.21 
179,180,48,Male,121325,30,3,35,Home & Garden,624.36 ,FALSE,41-50,55.20 
180,181,49,Male,76202,83,3,6,Groceries,208.79 ,TRUE,41-50,30.53 
181,182,40,Male,136323,36,6,25,Electronics,625.28 ,FALSE,41-50,56.05 
182,183,43,Female,32512,95,4,49,Home & Garden,223.39 ,FALSE,41-50,61.58 
183,184,27,Male,63313,8,10,42,Groceries,35.01 ,FALSE,21-30,63.90 
184,185,41,Female,104337,91,6,27,Home & Garden,401.63 ,FALSE,41-50,58.35 
185,186,40,Other,124138,84,10,41,Groceries,426.62 ,FALSE,41-50,79.82 
186,187,35,Male,137307,32,6,24,Electronics,111.27 ,FALSE,31-40,55.00 
187,188,55,Male,77060,14,2,16,Sports,286.79 ,FALSE,51-60,29.76 
188,189,45,Male,108335,62,1,35,Electronics,940.93 ,FALSE,41-50,52.45 
189,190,41,Other,59408,68,1,16,Electronics,504.16 ,FALSE,41-50,30.51 
190,191,35,Male,100208,80,2,27,Electronics,23.73 ,FALSE,31-40,48.63 
191,192,63,Other,109506,48,10,50,Electronics,26.85 ,FALSE,61-70,81.23 
192,193,69,Female,39509,10,6,27,Groceries,377.66 ,FALSE,61-70,40.53 
193,194,69,Male,74519,95,10,42,Clothing,931.51 ,FALSE,61-70,74.28 
194,195,67,Other,31806,79,8,13,Electronics,261.07 ,TRUE,61-70,39.07 
195,196,48,Male,108550,5,6,35,Home & Garden,410.05 ,FALSE,41-50,56.78 
196,197,34,Female,56125,66,10,26,Home & Garden,610.66 ,FALSE,31-40,55.82 
197,198,39,Male,116566,76,9,21,Groceries,32.38 ,FALSE,31-40,59.88 
198,199,45,Female,82014,30,10,15,Groceries,81.91 ,TRUE,41-50,47.30 
199,200,63,Female,113240,47,9,22,Clothing,279.96 ,FALSE,61-70,57.29 
200,201,45,Male,111788,28,9,49,Groceries,628.43 ,FALSE,41-50,76.77 
201,202,25,Male,30570,16,8,44,Sports,971.09 ,FALSE,21-30,57.39 
202,203,66,Other,106631,41,6,9,Home & Garden,354.46 ,TRUE,61-70,39.29 
203,204,49,Male,100258,53,6,27,Home & Garden,436.43 ,FALSE,41-50,53.94 
204,205,27,Male,132541,78,8,42,Electronics,825.01 ,FALSE,21-30,77.28 
205,206,34,Male,97962,18,3,19,Electronics,947.73 ,FALSE,31-40,37.69 
206,207,58,Male,48714,75,10,40,Sports,324.91 ,FALSE,51-60,66.81 
207,208,59,Female,70050,62,3,10,Clothing,49.53 ,TRUE,51-60,30.71 
208,209,60,Female,124416,24,5,39,Home & Garden,544.04 ,FALSE,61-70,62.26 
209,210,47,Other,93783,24,10,3,Electronics,406.56 ,TRUE,41-50,38.87 
210,211,40,Female,83445,89,7,11,Clothing,356.35 ,TRUE,41-50,44.22 
211,212,18,Other,54421,20,1,41,Home & Garden,215.95 ,FALSE,0-20,44.96 
212,213,47,Female,121498,29,9,28,Sports,706.37 ,FALSE,41-50,61.52 
213,214,33,Male,84883,43,2,49,Home & Garden,956.03 ,FALSE,31-40,60.23 
214,215,69,Other,127086,93,4,45,Electronics,339.90 ,FALSE,61-70,72.36 
215,216,26,Other,133538,27,5,46,Electronics,761.08 ,FALSE,21-30,69.53 
216,217,46,Female,82034,19,2,45,Sports,635.93 ,FALSE,41-50,54.21 
217,218,55,Female,147024,24,9,16,Electronics,169.79 ,FALSE,51-60,55.25 
218,219,57,Male,33009,82,9,24,Clothing,563.64 ,FALSE,51-60,50.35 
219,220,69,Male,142216,90,7,29,Electronics,559.73 ,FALSE,61-70,67.53 
220,221,62,Male,82623,51,8,37,Clothing,155.14 ,FALSE,61-70,63.09 
221,222,67,Other,64134,3,2,26,Clothing,868.18 ,FALSE,61-70,34.72 
222,223,53,Female,146546,12,6,45,Sports,915.02 ,FALSE,51-60,71.18 
223,224,51,Female,33665,12,2,2,Groceries,139.07 ,TRUE,51-60,11.85 
224,225,54,Female,92156,18,7,14,Electronics,238.87 ,TRUE,51-60,40.82 
225,226,19,Female,51355,48,8,28,Home & Garden,278.21 ,FALSE,0-20,50.90 
226,227,65,Male,89274,71,10,34,Electronics,840.45 ,FALSE,61-70,67.69 
227,228,53,Male,57651,27,7,16,Home & Garden,345.62 ,FALSE,51-60,38.15 
228,229,19,Other,52470,90,5,35,Groceries,515.99 ,FALSE,0-20,54.87 
229,230,56,Male,31154,40,4,25,Electronics,197.54 ,FALSE,51-60,36.67 
230,231,24,Female,147572,44,7,45,Electronics,204.27 ,FALSE,21-30,76.54 
231,232,66,Male,144573,41,7,24,Groceries,66.60 ,FALSE,61-70,58.99 
232,233,41,Female,88312,22,6,31,Groceries,212.53 ,FALSE,41-50,52.25 
233,234,29,Female,96066,45,7,24,Sports,479.36 ,FALSE,21-30,52.11 
234,235,19,Female,41542,21,1,22,Groceries,132.88 ,FALSE,0-20,27.93 
235,236,42,Other,66495,79,9,31,Sports,537.66 ,FALSE,41-50,60.67 
236,237,62,Other,52480,22,3,14,Electronics,821.42 ,TRUE,61-70,27.27 
237,238,64,Other,148368,19,4,23,Groceries,949.32 ,FALSE,61-70,50.56 
238,239,64,Female,124599,41,9,41,Groceries,924.18 ,FALSE,61-70,73.59 
239,240,44,Female,121975,33,6,27,Groceries,640.96 ,FALSE,41-50,55.20 
240,241,41,Female,41748,50,8,5,Sports,35.16 ,TRUE,41-50,31.26 
241,242,31,Female,125501,74,3,18,Electronics,947.76 ,FALSE,31-40,46.63 
242,243,25,Other,109583,6,4,30,Electronics,923.64 ,FALSE,21-30,49.04 
243,244,47,Female,108356,84,6,19,Home & Garden,911.00 ,FALSE,41-50,51.85 
244,245,28,Other,134414,19,5,15,Home & Garden,922.01 ,TRUE,21-30,44.06 
245,246,44,Male,83880,31,6,32,Electronics,464.42 ,FALSE,41-50,53.28 
246,247,54,Other,48896,28,9,25,Sports,244.79 ,FALSE,51-60,48.13 
247,248,28,Other,48383,57,8,35,Sports,17.97 ,FALSE,21-30,56.96 
248,249,54,Female,134743,98,9,42,Sports,894.21 ,FALSE,51-60,81.61 
249,250,47,Male,91491,52,5,10,Home & Garden,21.43 ,TRUE,41-50,36.92 
250,251,43,Male,89688,27,10,30,Electronics,223.64 ,FALSE,41-50,60.15 
251,252,25,Other,105185,70,2,37,Groceries,556.23 ,FALSE,21-30,56.38 
252,253,49,Other,129014,25,7,21,Groceries,271.52 ,FALSE,41-50,52.65 
253,254,66,Other,112847,98,9,44,Home & Garden,827.44 ,FALSE,61-70,79.93 
254,255,27,Other,139589,69,8,22,Clothing,150.58 ,FALSE,21-30,61.44 
255,256,46,Other,38785,55,9,22,Clothing,486.25 ,FALSE,41-50,46.92 
256,257,26,Male,134203,19,3,28,Sports,935.64 ,FALSE,21-30,50.43 
257,258,37,Other,86856,74,3,10,Electronics,624.29 ,TRUE,31-40,34.43 
258,259,68,Male,49725,59,2,35,Groceries,12.36 ,FALSE,61-70,45.36 
259,260,39,Female,56381,82,6,19,Sports,759.60 ,FALSE,31-40,43.86 
260,261,39,Other,117432,96,7,41,Sports,25.44 ,FALSE,31-40,74.01 
261,262,60,Other,45827,18,2,47,Electronics,599.66 ,FALSE,61-70,50.27 
262,263,64,Other,115366,68,9,28,Electronics,934.88 ,FALSE,61-70,64.50 
263,264,57,Female,31451,75,3,8,Electronics,611.79 ,TRUE,51-60,24.62 
264,265,63,Male,142287,77,10,44,Clothing,785.29 ,FALSE,61-70,84.24 
265,266,53,Other,84616,68,10,8,Home & Garden,543.31 ,TRUE,51-60,45.89 
266,267,57,Female,114972,42,9,12,Home & Garden,999.74 ,TRUE,51-60,49.05 
267,268,23,Other,101024,29,3,41,Groceries,484.85 ,FALSE,21-30,56.85 
268,269,33,Female,118116,100,9,48,Sports,21.90 ,FALSE,31-40,84.12 
269,270,28,Female,49020,75,9,49,Electronics,109.03 ,FALSE,21-30,72.05 
270,271,69,Male,47458,14,2,10,Groceries,874.32 ,TRUE,61-70,20.52 
271,272,52,Female,104033,6,5,15,Clothing,192.31 ,TRUE,51-60,38.20 
272,273,47,Other,84117,74,9,17,Home & Garden,886.08 ,FALSE,41-50,51.62 
273,274,60,Other,107232,68,4,48,Clothing,730.80 ,FALSE,61-70,69.28 
274,275,22,Other,128623,88,5,20,Clothing,609.57 ,FALSE,21-30,54.09 
275,276,39,Female,39931,43,1,28,Groceries,261.36 ,FALSE,31-40,34.69 
276,277,53,Other,94392,38,5,11,Clothing,997.24 ,TRUE,51-60,36.76 
277,278,63,Male,48225,24,6,14,Clothing,764.05 ,TRUE,61-70,32.83 
278,279,47,Other,95656,63,2,30,Electronics,634.19 ,FALSE,41-50,48.65 
279,280,53,Female,61826,96,1,14,Clothing,577.00 ,TRUE,51-60,32.07 
280,281,61,Other,47689,46,4,42,Home & Garden,802.44 ,FALSE,61-70,53.35 
281,282,34,Male,68250,9,10,26,Clothing,835.06 ,FALSE,31-40,51.94 
282,283,33,Male,113187,27,9,46,Electronics,886.30 ,FALSE,31-40,74.48 
283,284,43,Male,77006,27,3,36,Electronics,223.98 ,FALSE,41-50,49.05 
284,285,63,Female,121652,20,1,26,Sports,169.58 ,FALSE,61-70,43.05 
285,286,51,Male,124670,66,2,43,Clothing,184.80 ,FALSE,51-60,63.70 
286,287,31,Male,119460,69,2,22,Clothing,486.21 ,FALSE,31-40,46.42 
287,288,56,Male,117922,69,2,41,Home & Garden,98.83 ,FALSE,51-60,61.39 
288,289,38,Male,84577,70,7,27,Sports,631.28 ,FALSE,31-40,55.29 
289,290,43,Male,64136,61,1,19,Electronics,680.92 ,FALSE,41-50,32.92 
290,291,45,Female,57845,32,6,41,Clothing,934.34 ,FALSE,41-50,56.68 
291,292,62,Other,38250,63,5,22,Home & Garden,723.93 ,FALSE,61-70,39.64 
292,293,45,Other,54819,72,3,47,Sports,553.44 ,FALSE,41-50,59.02 
293,294,47,Other,89077,43,1,35,Clothing,547.85 ,FALSE,41-50,47.66 
294,295,18,Other,135713,79,7,18,Electronics,871.12 ,FALSE,0-20,56.66 
295,296,56,Other,129611,23,3,48,Sports,98.85 ,FALSE,51-60,66.14 
296,297,40,Male,97995,47,4,9,Sports,101.35 ,TRUE,41-50,34.60 
297,298,39,Male,132488,40,5,37,Sports,82.16 ,FALSE,31-40,63.47 
298,299,59,Male,36383,5,6,31,Groceries,82.77 ,FALSE,51-60,42.76 
299,300,55,Other,144624,38,2,23,Groceries,652.26 ,FALSE,51-60,47.89 
300,301,52,Female,106147,2,6,19,Groceries,412.65 ,FALSE,51-60,43.32 
301,302,50,Other,130668,39,5,25,Home & Garden,69.81 ,FALSE,51-60,53.50 
302,303,59,Female,57745,33,7,42,Electronics,492.87 ,FALSE,51-60,59.56 
303,304,50,Female,78296,93,9,47,Electronics,559.16 ,FALSE,51-60,76.64 
304,305,32,Male,39407,50,6,13,Sports,844.22 ,TRUE,31-40,33.31 
305,306,48,Male,39407,82,5,27,Sports,463.07 ,FALSE,41-50,45.71 
306,307,26,Other,135530,81,2,12,Home & Garden,126.35 ,TRUE,21-30,42.03 
307,308,54,Female,76995,14,3,46,Electronics,685.09 ,FALSE,51-60,55.75 
308,309,64,Female,96182,44,4,8,Groceries,509.31 ,TRUE,61-70,33.23 
309,310,50,Male,100320,45,7,29,Sports,139.39 ,FALSE,51-60,56.75 
310,311,53,Male,138922,45,5,22,Electronics,154.06 ,FALSE,51-60,52.94 
311,312,30,Male,143200,38,8,30,Sports,684.43 ,FALSE,31-40,65.28 
312,313,69,Other,35218,47,4,33,Electronics,315.49 ,FALSE,61-70,44.38 
313,314,44,Male,141748,55,2,50,Groceries,897.57 ,FALSE,41-50,70.76 
314,315,68,Female,62971,27,8,17,Electronics,85.45 ,FALSE,61-70,41.75 
315,316,20,Female,57260,47,2,49,Electronics,506.70 ,FALSE,21-30,56.49 
316,317,18,Other,92363,84,1,10,Electronics,539.74 ,TRUE,0-20,32.25 
317,318,23,Other,84664,45,5,12,Electronics,592.72 ,TRUE,21-30,36.80 
318,319,61,Other,47790,67,9,5,Home & Garden,714.29 ,TRUE,61-70,35.87 
319,320,34,Male,31668,43,5,40,Clothing,117.01 ,FALSE,31-40,51.05 
320,321,43,Female,78858,4,3,38,Sports,261.19 ,FALSE,41-50,48.63 
